,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
957,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,255,,209,,209,,310,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
958,Health,Medicine - Undergraduate Entry (HPAT required),RC001,733,,,,733,,738,8,RCSI University of Medicine & Health Sciences,#,,,,,,,,,,
959,Health,Physiotherapy,RC004,566,,,,566,,567,8,RCSI University of Medicine & Health Sciences,,,,,,,,,,,
960,Health,Pharmacy,RC005,579,,,,578,*,589,8,RCSI University of Medicine & Health Sciences,,,,,,,,,,,
961,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,61,,63,8,RCSI University of Medicine & Health Sciences,#,,,,,,,,,,
962,Business and administration,Business,SG101,160,,160,,160,,336,6,"Institute of Technology, Sligo",,avp,,,,,,,,,
963,Information and Communication Technologies (ICTs),Computing (Level 6 - General Entry),SG102,254,,,,254,,321,6,"Institute of Technology, Sligo",,,,,,,,,,,
964,Information and Communication Technologies (ICTs),Computing - Games Development,SG131,280,,,,280,,378,7,"Institute of Technology, Sligo",,,,,,,,,,,
965,Personal services,Applied Sport with Business,SG134,215,,,,215,,337,7,"Institute of Technology, Sligo",,,,,,,,,,,
966,Personal services,Business in Tourism with Event Management,SG135,187,,,,187,,338,7,"Institute of Technology, Sligo",,,,,,,,,,,
967,Information and Communication Technologies (ICTs),Computing - Software Development,SG136,272,,,,272,,328,7,"Institute of Technology, Sligo",,,,,,,,,,,
968,Information and Communication Technologies (ICTs),Computing (Computer Networks and Cloud Infrastructure),SG137,324,,,,326,,367,7,"Institute of Technology, Sligo",,,,,,,,,,,
969,Information and Communication Technologies (ICTs),Computing (Level 7 - General Entry),SG138,260,,,,260,,351,7,"Institute of Technology, Sligo",,,,,,,,,,,
970,Business and administration,Business,SG141,261,,,,261,,347,8,"Institute of Technology, Sligo",,,,,,,,,,,
971,Business and administration,Business in International Marketing and Languages (French),SG142,279,,,,279,,386,8,"Institute of Technology, Sligo",,,,,,,,,,,
972,Business and administration,Business in International Marketing and Languages (Spanish),SG144,270,,,,270,,347,8,"Institute of Technology, Sligo",,,,,,,,,,,
973,Business and administration,Accounting,SG146,309,,,,309,,411,8,"Institute of Technology, Sligo",,,,,,,,,,,
974,Personal services,Sport with Business,SG147,307,,,,307,,367,8,"Institute of Technology, Sligo",,,,,,,,,,,
975,Personal services,Tourism with Event Management,SG148,269,,,,269,,340,8,"Institute of Technology, Sligo",,,,,,,,,,,
976,Arts,Fine Art,SG231,449,,449,,449,,556,7,"Institute of Technology, Sligo",#,avp,,,,,,,,,
977,Arts,Creative Design,SG232,273,,,,276,,353,7,"Institute of Technology, Sligo",,,,,,,,,,,
978,Arts,Performing Arts (Theatre Design),SG235,319,,,,319,,398,7,"Institute of Technology, Sligo",,,,,,,,,,,
979,Arts,Performing Arts (Acting),SG236,235,,,,235,,400,7,"Institute of Technology, Sligo",,,,,,,,,,,
980,Arts,Performing Arts,SG241,328,,,,328,,387,8,"Institute of Technology, Sligo",,,,,,,,,,,
981,Welfare,Early Childhood Care and Education,SG242,279,,,,279,,319,8,"Institute of Technology, Sligo",,,,,,,,,,,
982,Welfare,Social Care Practice,SG243,301,,,,301,,346,8,"Institute of Technology, Sligo",,,,,,,,,,,
983,Arts,Fine Art,SG244,505,,,,505,,505,8,"Institute of Technology, Sligo",#,,,,,,,,,,
984,Arts,Creative Design,SG245,282,,,,282,,339,8,"Institute of Technology, Sligo",,,,,,,,,,,
985,Information and Communication Technologies (ICTs),Computing,SG246,290,,,,290,,333,8,"Institute of Technology, Sligo",,,,,,,,,,,
986,Social and behavioural sciences,English and Psychology,SG247,309,,,,309,,382,8,"Institute of Technology, Sligo",,,,,,,,,,,
987,Social and behavioural sciences,Sociology and Politics,SG248,281,,,,281,,327,8,"Institute of Technology, Sligo",,,,,,,,,,,
988,Languages,Writing and Literature,SG249,297,,,,297,,368,8,"Institute of Technology, Sligo",,,,,,,,,,,
989,Information and Communication Technologies (ICTs),Application Design and User Experience,SG250,412,,,,412,,412,8,"Institute of Technology, Sligo",,,,,,,,,,,
990,Information and Communication Technologies (ICTs),Computing (Smart Technologies),SG251,327,,,,342,,367,8,"Institute of Technology, Sligo",,,,,,,,,,,
991,Information and Communication Technologies (ICTs),Software Development,SG252,307,,,,307,,319,8,"Institute of Technology, Sligo",,,,,,,,,,,
992,Information and Communication Technologies (ICTs),Computer Networks and Cloud Infrastructure,SG253,324,,,,378,,378,8,"Institute of Technology, Sligo",,,,,,,,,,,
993,Languages,Writing and Literature Online,SG254,225,,225,,225,,328,8,"Institute of Technology, Sligo",,avp,,,,,,,,,
994,Engineering and engineering trades,Engineering (General Entry),SG300,209,,,,209,,296,6,"Institute of Technology, Sligo",,,,,,,,,,,
995,Architecture and construction,Construction Economics,SG302,184,,,,184,,256,6,"Institute of Technology, Sligo",,,,,,,,,,,
996,Architecture and construction,Applied Construction Technology,SG308,171,,,,171,,354,6,"Institute of Technology, Sligo",,,,,,,,,,,
997,Engineering and engineering trades,Engineering (General Entry),SG330,243,,,,243,,399,7,"Institute of Technology, Sligo",,,,,,,,,,,
998,Architecture and construction,Interior Architecture and Design,SG331,236,,,,236,,378,7,"Institute of Technology, Sligo",,,,,,,,,,,
999,Architecture and construction,Advanced Wood and Sustainable Building Technology,SG332,208,,,,208,,338,7,"Institute of Technology, Sligo",,,,,,,,,,,
1000,Engineering and engineering trades,Mechanical Engineering,SG333,216,,,,216,,347,7,"Institute of Technology, Sligo",,,,,,,,,,,
1001,Engineering and engineering trades,Mechatronic Engineering,SG334,290,,,,290,,361,7,"Institute of Technology, Sligo",,,,,,,,,,,
1002,Engineering and engineering trades,Precision Engineering and Design,SG336,309,,,,309,,451,7,"Institute of Technology, Sligo",,,,,,,,,,,
1003,Architecture and construction,Civil Engineering,SG338,245,,,,245,,443,7,"Institute of Technology, Sligo",,,,,,,,,,,
1004,Architecture and construction,Quantity Surveying,SG339,195,,,,195,,337,7,"Institute of Technology, Sligo",,,,,,,,,,,
1005,Architecture and construction,Civil Engineering,SG342,415,,,,415,,480,8,"Institute of Technology, Sligo",,,,,,,,,,,
1006,Architecture and construction,Quantity Surveying,SG343,311,,,,311,,367,8,"Institute of Technology, Sligo",,,,,,,,,,,
1007,Architecture and construction,Construction Project Management and Applied Technology,SG346,291,,,,291,,337,8,"Institute of Technology, Sligo",,,,,,,,,,,
1008,Architecture and construction,Architecture,SG347,360,,,,360,,411,8,"Institute of Technology, Sligo",,,,,,,,,,,
1009,Architecture and construction,Interior Architecture and Design,SG348,316,,,,331,,368,8,"Institute of Technology, Sligo",,,,,,,,,,,
1010,Biological and related sciences,Science,SG401,209,,209,,209,,288,6,"Institute of Technology, Sligo",,avp,,,,,,,,,
1011,Environment,Environmental Science with Ecology (Level 6),SG404,264,,264,,358,,377,6,"Institute of Technology, Sligo",,avp,v,,,,,,,,
1012,Health,Health and Exercise Science,SG406,367,,,,367,,429,6,"Institute of Technology, Sligo",,,,,,,,,,,
1013,Physical sciences,Pharmaceutical Science with Drug Development,SG431,269,,,,269,,387,7,"Institute of Technology, Sligo",,,,,,,,,,,
1014,Hygiene and occupational health services,Occupational Safety and Health,SG433,223,,,,223,,360,7,"Institute of Technology, Sligo",,,,,,,,,,,
1015,Health,Human Nutrition,SG434,280,,,,280,,420,7,"Institute of Technology, Sligo",,,,,,,,,,,
1016,Health,Health Science and Physiology,SG435,289,,,,289,,409,7,"Institute of Technology, Sligo",,,,,,,,,,,
1017,Health,Biomedical Science,SG436,262,,,,262,,465,7,"Institute of Technology, Sligo",,,,,,,,,,,
1018,Biological and related sciences,Forensic Investigation and Analysis,SG437,243,,,,243,,367,7,"Institute of Technology, Sligo",,,,,,,,,,,
1019,Environment,Environmental Science with Ecology (Level 7),SG439,254,,,,254,,409,7,"Institute of Technology, Sligo",,,,,,,,,,,
1020,Hygiene and occupational health services,Occupational Safety and Health,SG442,290,,,,290,,367,8,"Institute of Technology, Sligo",,,,,,,,,,,
1021,Health,Human Nutrition,SG443,356,,,,356,,397,8,"Institute of Technology, Sligo",,,,,,,,,,,
1022,Biological and related sciences,Science Undenominated,SG444,338,,,,338,,420,8,"Institute of Technology, Sligo",,,,,,,,,,,
1023,Physical sciences,Pharmaceutical Science with Drug Development,SG445,311,,,,311,,367,8,"Institute of Technology, Sligo",,,,,,,,,,,
1024,Health,Health Science and Physical Activity,SG447,328,,,,328,,387,8,"Institute of Technology, Sligo",,,,,,,,,,,
1025,Biological and related sciences,Forensic Investigation and Analysis,SG448,306,,,,307,,368,8,"Institute of Technology, Sligo",,,,,,,,,,,
1026,Health,Medical Biotechnology,SG449,341,,,,341,,395,8,"Institute of Technology, Sligo",,,,,,,,,,,
1027,Environment,Environmental Science with Ecology (Level 8),SG450,300,,,,304,,368,8,"Institute of Technology, Sligo",,,,,,,,,,,
1028,Health,Health and Medical Information Science (Online),SG530,285,,285,,285,,285,7,"Institute of Technology, Sligo",,avp,,,,,,,,,
1029,Business and administration,Business Administration,SG535,228,,,,228,,316,7,"Institute of Technology, Sligo",,,,,,,,,,,
1030,Business and administration,Business,SG536,223,,,,223,,379,7,"Institute of Technology, Sligo",,,,,,,,,,,
1031,Business and administration,Marketing and Sales,SG537,234,,,,234,,389,7,"Institute of Technology, Sligo",,,,,,,,,,,
1032,Personal services,Culinary Arts,TL620,189,,189,,189,,308,6,"Institute of Technology, Tralee",,avp,,,,,,,,,
1033,Environment,Science (Biological and Environmental Studies),TL651,223,,223,,233,,434,6,"Institute of Technology, Tralee",,avp,v,,,,,,,,
1034,Health,Pharmacy Technician,TL652,260,,,,260,,348,6,"Institute of Technology, Tralee",,,,,,,,,,,
1035,Arts,"Animation, Visual Effects and Motion Design (Level 7)",TL701,228,,,,228,,443,7,"Institute of Technology, Tralee",,,,,,,,,,,
1036,Arts,"TV, Radio and New Media (Level 7)",TL702,243,,,,243,,462,7,"Institute of Technology, Tralee",,,,,,,,,,,
1037,Information and Communication Technologies (ICTs),Computing with Software Development,TL710,232,,,,232,,319,7,"Institute of Technology, Tralee",,,,,,,,,,,
1038,Information and Communication Technologies (ICTs),Computing with Games Development,TL711,224,,,,224,,301,7,"Institute of Technology, Tralee",,,,,,,,,,,
1039,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL715,251,,,,251,,368,7,"Institute of Technology, Tralee",,,,,,,,,,,
1040,Information and Communication Technologies (ICTs),Computer Systems and Networking,TL716,269,,,,269,,338,7,"Institute of Technology, Tralee",,,,,,,,,,,
1041,Business and administration,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,219,,,,219,,399,7,"Institute of Technology, Tralee",,,,,,,,,,,
1042,Agriculture,Agricultural Mechanisation,TL743,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1043,Agriculture,Agricultural Engineering,TL744,243,,,,243,,359,7,"Institute of Technology, Tralee",,,,,,,,,,,
1044,Architecture and construction,Civil and Environmental Engineering,TL745,261,,261,,145,,355,7,"Institute of Technology, Tralee",,avp,,,,,,,,,
1045,Engineering and engineering trades,Engineering in Mechanical and Manufacturing Engineering,TL747,200,,,,200,,368,7,"Institute of Technology, Tralee",,,,,,,,,,,
1046,Biological and related sciences,Agricultural Science,TL748,249,,,,249,,398,7,"Institute of Technology, Tralee",,,,,,,,,,,
1047,Health,Pharmaceutical Science (Degree Award options),TL755,261,,,,261,,433,7,"Institute of Technology, Tralee",,,,,,,,,,,
1048,Veterinary,Animal Bioscience,TL758,251,,,,261,,380,7,"Institute of Technology, Tralee",,,,,,,,,,,
1049,Personal services,Health and Leisure (Degree Award Options),TL771,208,,,,208,,370,7,"Institute of Technology, Tralee",,,,,,,,,,,
1050,Personal services,Health and Leisure with Massage,TL772,218,,,,218,,378,7,"Institute of Technology, Tralee",,,,,,,,,,,
1051,Personal services,Coaching and Sports Performance,TL773,106,,106,,106,,297,7,"Institute of Technology, Tralee",,avp,,,,,,,,,
1052,Welfare,Early Childhood Care and Education,TL780,234,,,,234,,354,7,"Institute of Technology, Tralee",,,,,,,,,,,
1053,Welfare,Social Care,TL781,225,,,,225,,318,7,"Institute of Technology, Tralee",,,,,,,,,,,
1054,Arts,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,,,,281,,349,8,"Institute of Technology, Tralee",,,,,,,,,,,
1055,Arts,"TV, Radio and New Media (Level 8)",TL802,325,,,,325,,397,8,"Institute of Technology, Tralee",,,,,,,,,,,
1056,Information and Communication Technologies (ICTs),Computing with Software Development,TL810,310,,,,310,,389,8,"Institute of Technology, Tralee",,,,,,,,,,,
1057,Information and Communication Technologies (ICTs),Computing with Games Development,TL811,358,,,,358,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1058,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL815,308,,,,308,,360,8,"Institute of Technology, Tralee",,,,,,,,,,,
1059,Personal services,Event Management (3 year programme),TL823,299,,,,299,,369,8,"Institute of Technology, Tralee",,,,,,,,,,,
1060,Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,,,,306,,381,8,"Institute of Technology, Tralee",,,,,,,,,,,
1061,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,TL844,300,,,,300,,373,8,"Institute of Technology, Tralee",,,,,,,,,,,
1062,Architecture and construction,Civil Engineering,TL845,325,,,,325,,413,8,"Institute of Technology, Tralee",,,,,,,,,,,
1063,Manufacturing and processing,Manufacturing Engineering,TL847,302,,,,302,,368,8,"Institute of Technology, Tralee",,,,,,,,,,,
1064,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,TL848,308,,,,308,,380,8,"Institute of Technology, Tralee",,,,,,,,,,,
1065,Environment,Wildlife Biology (Degree Award options),TL851,309,,,,309,,383,8,"Institute of Technology, Tralee",,,,,,,,,,,
1066,Health,Pharmaceutical Science (Degree Award options),TL855,317,,,,317,,369,8,"Institute of Technology, Tralee",,,,,,,,,,,
1067,Veterinary,Veterinary Bioscience,TL858,308,,,,308,,393,8,"Institute of Technology, Tralee",,,,,,,,,,,
1068,Personal services,Health and Leisure (Degree Award options),TL871,300,,,,300,,379,8,"Institute of Technology, Tralee",,,,,,,,,,,
1069,Personal services,Health and Leisure with Massage,TL872,309,,,,309,,408,8,"Institute of Technology, Tralee",,,,,,,,,,,
1070,Personal services,Coaching and Sports Performance,TL873,289,,,,289,,329,8,"Institute of Technology, Tralee",,,,,,,,,,,
1071,Welfare,Early Childhood Care and Education,TL880,307,,,,307,,349,8,"Institute of Technology, Tralee",,,,,,,,,,,
1072,Welfare,Social Care,TL881,308,,,,309,,362,8,"Institute of Technology, Tralee",,,,,,,,,,,
1073,Welfare,Counselling with Addiction - Mature applicants only,TL889,,,,,,,,8,"Institute of Technology, Tralee",#,,,,,,,,,,
1074,Health,General Nursing and Mature Applicants,TL890,440,*,414,,414,,441,8,"Institute of Technology, Tralee",,,,,,,,,,,
1075,Health,Mental Health Nursing and Mature Applicants,TL891,389,,378,,378,,399,8,"Institute of Technology, Tralee",,,,,,,,,,,
1076,Arts,Music,TR002,435,,429,,382,,468,8,Trinity College Dublin,,,,,,,,,,,
1077,Humanities (except languages),History,TR003,497,,493,,456,,511,8,Trinity College Dublin,,,,,,,,,,,
1078,Law,Law,TR004,566,,565,*,565,*,578,8,Trinity College Dublin,,,,,,,,,,,
1079,Humanities (except languages),Philosophy,TR005,442,,,,442,,476,8,Trinity College Dublin,,,,,,,,,,,
1080,Social and behavioural sciences,Psychology,TR006,567,,555,*,555,*,578,8,Trinity College Dublin,,,,,,,,,,,
1081,Health,Clinical Speech and Language Studies,TR007,529,,,,529,,553,8,Trinity College Dublin,,,,,,,,,,,
1082,Education,Music Education,TR009,420,,,,420,,532,8,Trinity College Dublin,#,,,,,,,,,,
1083,Humanities (except languages),History and Political Science,TR012,555,,554,,552,*,578,8,Trinity College Dublin,,,,,,,,,,,
1084,Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,589,,,,589,,601,8,Trinity College Dublin,,,,,,,,,,,
